ncalls,tottime,percall,cumtime,percall,filename:lineno(function)
112762,1.213,0.000,1.689,0.000,C:\Users\tobia\AppData\Local\Programs\Python\Python311\Lib\site-packages\pygame\sprite.py:1736(<listcomp>)
435,0.000,0.000,0.000,0.000,C:\Users\tobia\AppData\Local\Programs\Python\Python311\Lib\site-packages\pygame\sysfont.py:48(_addfont)
1,0.000,0.000,0.000,0.000,C:\Users\tobia\AppData\Local\Programs\Python\Python311\Lib\threading.py:264(__enter__)
1,0.000,0.000,0.000,0.000,C:\Users\tobia\AppData\Local\Programs\Python\Python311\Lib\threading.py:273(_release_save)
1,0.000,0.000,0.000,0.000,C:\Users\tobia\AppData\Local\Programs\Python\Python311\Lib\threading.py:276(_acquire_restore)
2,0.000,0.000,0.000,0.000,C:\Users\tobia\AppData\Local\Programs\Python\Python311\Lib\threading.py:1174(native_id)
2,0.000,0.000,0.000,0.000,C:\Users\tobia\AppData\Local\Programs\Python\Python311\Lib\threading.py:1199(daemon)
1,0.000,0.000,0.000,0.000,C:\Users\tobia\AppData\Local\Programs\Python\Python311\Lib\threading.py:267(__exit__)
1,0.000,0.000,0.000,0.000,C:\Users\tobia\AppData\Local\Programs\Python\Python311\Lib\threading.py:804(_newname)
508,0.002,0.000,0.003,0.000,C:\Users\tobia\AppData\Local\Programs\Python\Python311\Lib\threading.py:1185(is_alive)
60,0.000,0.000,0.000,0.000,C:\Users\tobia\AppData\Local\Programs\Python\Python311\Lib\pathlib.py:536(__str__)
2,0.000,0.000,0.000,0.000,C:\Users\tobia\AppData\Local\Programs\Python\Python311\Lib\pathlib.py:777(parent)
1,0.000,0.000,0.000,0.000,C:\Users\tobia\AppData\Local\Programs\Python\Python311\Lib\threading.py:1044(_stop)
1,0.000,0.000,0.000,0.000,C:\Users\tobia\AppData\Local\Programs\Python\Python311\Lib\_weakrefset.py:85(add)
1,0.000,0.000,0.000,0.000,C:\Users\tobia\AppData\Local\Programs\Python\Python311\Lib\threading.py:604(wait)
32,0.000,0.000,0.000,0.000,C:\Users\tobia\AppData\Local\Programs\Python\Python311\Lib\json\decoder.py:343(raw_decode)
53,0.000,0.000,0.000,0.000,C:\Users\tobia\AppData\Local\Programs\Python\Python311\Lib\pathlib.py:523(_format_parsed_parts)
53,0.000,0.000,0.002,0.000,C:\Users\tobia\AppData\Local\Programs\Python\Python311\Lib\pathlib.py:504(_from_parts)
1,0.000,0.000,0.000,0.000,C:\Users\tobia\AppData\Local\Programs\Python\Python311\Lib\threading.py:555(__init__)
1,0.000,0.000,0.000,0.000,C:\Users\tobia\AppData\Local\Programs\Python\Python311\Lib\threading.py:1317(_make_invoke_excepthook)
2,0.000,0.000,0.000,0.000,C:\Users\tobia\AppData\Local\Programs\Python\Python311\Lib\site-packages\numpy\core\numerictypes.py:357(issubdtype)
46,0.000,0.000,0.001,0.000,C:\Users\tobia\AppData\Local\Programs\Python\Python311\Lib\pathlib.py:868(__new__)
1,0.000,0.000,0.000,0.000,C:\Users\tobia\AppData\Local\Programs\Python\Python311\Lib\threading.py:822(_maintain_shutdown_locks)
402,0.000,0.000,0.000,0.000,C:\Users\tobia\AppData\Local\Programs\Python\Python311\Lib\site-packages\numpy\core\shape_base.py:207(_arrays_for_stack_dispatcher)
9,0.000,0.000,0.000,0.000,C:\Users\tobia\AppData\Local\Programs\Python\Python311\Lib\pathlib.py:515(_from_parsed_parts)
1,0.000,0.000,0.000,0.000,C:\Users\tobia\AppData\Local\Programs\Python\Python311\Lib\threading.py:1446(current_thread)
14,0.000,0.000,0.000,0.000,C:\Users\tobia\AppData\Local\Programs\Python\Python311\Lib\pathlib.py:622(name)
639,0.003,0.000,0.003,0.000,C:\Users\tobia\AppData\Local\Programs\Python\Python311\Lib\site-packages\numpy\core\_methods.py:90(_clip)
7,0.000,0.000,0.000,0.000,C:\Users\tobia\AppData\Local\Programs\Python\Python311\Lib\pathlib.py:1008(stat)
18958,0.013,0.000,0.013,0.000,C:\Users\tobia\AppData\Local\Programs\Python\Python311\Lib\site-packages\numpy\core\fromnumeric.py:72(<dictcomp>)
14,0.000,0.000,0.000,0.000,C:\Users\tobia\AppData\Local\Programs\Python\Python311\Lib\site-packages\numpy\core\fromnumeric.py:2177(sum)
32,0.000,0.000,0.000,0.000,C:\Users\tobia\AppData\Local\Programs\Python\Python311\Lib\json\decoder.py:332(decode)
1,0.000,0.000,0.000,0.000,C:\Users\tobia\AppData\Local\Programs\Python\Python311\Lib\site-packages\numpy\core\numerictypes.py:229(obj2sctype)
12901,0.030,0.000,0.071,0.000,C:\Users\tobia\AppData\Local\Programs\Python\Python311\Lib\site-packages\numpy\core\fromnumeric.py:40(_wrapit)
20,0.000,0.000,0.011,0.001,C:\Users\tobia\AppData\Local\Programs\Python\Python311\Lib\site-packages\numpy\core\shape_base.py:23(atleast_1d)
18958,0.027,0.000,0.086,0.000,C:\Users\tobia\AppData\Local\Programs\Python\Python311\Lib\site-packages\numpy\core\fromnumeric.py:71(_wrapreduction)
34,0.000,0.000,0.000,0.000,C:\Users\tobia\AppData\Local\Programs\Python\Python311\Lib\site-packages\numpy\core\multiarray.py:346(where)
14180,0.003,0.000,0.003,0.000,C:\Users\tobia\AppData\Local\Programs\Python\Python311\Lib\site-packages\numpy\core\multiarray.py:741(dot)
21,0.000,0.000,0.000,0.000,C:\Users\tobia\AppData\Local\Programs\Python\Python311\Lib\site-packages\numpy\core\multiarray.py:1080(copyto)
37704,0.010,0.000,0.018,0.000,C:\Users\tobia\AppData\Local\Programs\Python\Python311\Lib\site-packages\matplotlib\transforms.py:209(<lambda>)
448,0.000,0.000,0.000,0.000,C:\Users\tobia\AppData\Local\Programs\Python\Python311\Lib\site-packages\numpy\core\multiarray.py:153(concatenate)
